method,var_a,var_b,edge_frequency,directed_a_to_b_frequency,directed_b_to_a_frequency,repetitions_attempted,repetitions_succeeded,failures
pc,baseline_age_band,baseline_gender,0.1,0.1,0.0,20,20,0
pc,baseline_age_band,baseline_highest_education,1.0,0.0,0.7,20,20,0
pc,baseline_age_band,baseline_studied_credits,0.1,0.0,0.1,20,20,0
pc,baseline_age_band,treatment_high_engagement_14d_median,0.7,0.05,0.65,20,20,0
pc,baseline_disability,baseline_imd_band,0.05,0.05,0.0,20,20,0
pc,baseline_disability,baseline_num_of_prev_attempts,0.05,0.05,0.0,20,20,0
pc,baseline_gender,baseline_highest_education,0.05,0.0,0.05,20,20,0
pc,baseline_gender,baseline_imd_band,0.15,0.0,0.15,20,20,0
pc,baseline_gender,baseline_module_presentation_length,1.0,0.25,0.35,20,20,0
pc,baseline_gender,baseline_studied_credits,0.25,0.2,0.0,20,20,0
pc,baseline_gender,treatment_high_engagement_14d_median,0.05,0.0,0.05,20,20,0
pc,baseline_highest_education,baseline_imd_band,1.0,0.05,0.05,20,20,0
pc,baseline_highest_education,baseline_registered_before_start,0.05,0.0,0.05,20,20,0
pc,baseline_highest_education,outcome_success,0.7,0.6,0.05,20,20,0
pc,baseline_imd_band,outcome_success,0.55,0.45,0.0,20,20,0
pc,baseline_module_presentation_length,baseline_num_of_prev_attempts,0.6,0.25,0.3,20,20,0
pc,baseline_module_presentation_length,baseline_studied_credits,0.95,0.55,0.2,20,20,0
pc,baseline_module_presentation_length,early_assessment_weight_14d,1.0,0.1,0.3,20,20,0
pc,baseline_module_presentation_length,outcome_success,0.1,0.0,0.1,20,20,0
pc,baseline_num_of_prev_attempts,baseline_registered_before_start,0.15,0.0,0.15,20,20,0
pc,baseline_num_of_prev_attempts,baseline_studied_credits,1.0,0.6,0.3,20,20,0
pc,baseline_num_of_prev_attempts,outcome_success,0.35,0.15,0.15,20,20,0
pc,baseline_num_of_prev_attempts,treatment_high_engagement_14d_median,0.2,0.0,0.1,20,20,0
pc,baseline_registered_before_start,treatment_high_engagement_14d_median,0.1,0.1,0.0,20,20,0
pc,outcome_success,treatment_high_engagement_14d_median,1.0,0.15,0.65,20,20,0
ges,baseline_age_band,baseline_gender,0.2,0.0,0.0,20,20,0
ges,baseline_age_band,baseline_highest_education,0.9,0.0,0.0,20,20,0
ges,baseline_age_band,baseline_studied_credits,0.05,0.0,0.0,20,20,0
ges,baseline_age_band,treatment_high_engagement_14d_median,0.6,0.2,0.0,20,20,0
ges,baseline_disability,baseline_highest_education,0.9,0.0,0.0,20,20,0
ges,baseline_disability,outcome_success,0.2,0.1,0.0,20,20,0
ges,baseline_gender,baseline_module_presentation_length,1.0,0.05,0.0,20,20,0
ges,baseline_gender,baseline_registered_before_start,0.1,0.0,0.0,20,20,0
ges,baseline_gender,baseline_studied_credits,0.55,0.0,0.05,20,20,0
ges,baseline_gender,treatment_high_engagement_14d_median,0.05,0.0,0.0,20,20,0
ges,baseline_highest_education,outcome_success,0.7,0.0,0.0,20,20,0
ges,baseline_module_presentation_length,early_assessment_weight_14d,1.0,0.05,0.0,20,20,0
ges,baseline_num_of_prev_attempts,baseline_studied_credits,0.95,0.1,0.0,20,20,0
ges,baseline_num_of_prev_attempts,outcome_success,0.8,0.0,0.1,20,20,0
ges,baseline_num_of_prev_attempts,treatment_high_engagement_14d_median,0.1,0.0,0.0,20,20,0
ges,baseline_registered_before_start,treatment_high_engagement_14d_median,0.5,0.0,0.1,20,20,0
ges,baseline_studied_credits,early_assessment_weight_14d,0.05,0.0,0.0,20,20,0
ges,baseline_studied_credits,outcome_success,0.05,0.0,0.0,20,20,0
ges,outcome_success,treatment_high_engagement_14d_median,1.0,0.2,0.1,20,20,0
fci,baseline_age_band,baseline_gender,0.05,0.0,0.0,20,20,0
fci,baseline_age_band,baseline_highest_education,1.0,0.0,0.0,20,20,0
fci,baseline_age_band,baseline_imd_band,0.2,0.0,0.0,20,20,0
fci,baseline_age_band,baseline_studied_credits,0.15,0.0,0.0,20,20,0
fci,baseline_age_band,treatment_high_engagement_14d_median,0.7,0.0,0.0,20,20,0
fci,baseline_disability,baseline_imd_band,0.1,0.0,0.05,20,20,0
fci,baseline_disability,baseline_num_of_prev_attempts,0.05,0.0,0.0,20,20,0
fci,baseline_disability,baseline_studied_credits,0.05,0.0,0.0,20,20,0
fci,baseline_gender,baseline_imd_band,0.05,0.0,0.0,20,20,0
fci,baseline_gender,baseline_module_presentation_length,1.0,0.0,0.05,20,20,0
fci,baseline_gender,baseline_studied_credits,0.05,0.0,0.0,20,20,0
fci,baseline_highest_education,baseline_imd_band,1.0,0.4,0.0,20,20,0
fci,baseline_highest_education,outcome_success,0.75,0.1,0.0,20,20,0
fci,baseline_imd_band,outcome_success,0.45,0.05,0.1,20,20,0
fci,baseline_module_presentation_length,baseline_num_of_prev_attempts,0.65,0.0,0.05,20,20,0
fci,baseline_module_presentation_length,baseline_studied_credits,0.9,0.3,0.0,20,20,0
fci,baseline_module_presentation_length,early_assessment_weight_14d,1.0,0.4,0.0,20,20,0
fci,baseline_module_presentation_length,outcome_success,0.05,0.0,0.0,20,20,0
fci,baseline_num_of_prev_attempts,baseline_registered_before_start,0.1,0.0,0.0,20,20,0
fci,baseline_num_of_prev_attempts,baseline_studied_credits,1.0,0.3,0.0,20,20,0
fci,baseline_num_of_prev_attempts,outcome_success,0.3,0.05,0.0,20,20,0
fci,baseline_num_of_prev_attempts,treatment_high_engagement_14d_median,0.05,0.0,0.0,20,20,0
fci,baseline_registered_before_start,treatment_high_engagement_14d_median,0.05,0.0,0.0,20,20,0
fci,outcome_success,treatment_high_engagement_14d_median,1.0,0.05,0.0,20,20,0
